,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
"DAIHATSU
,DBA-LA400K,,,,2016.4,2WD,Cero / Robe / XPLAY S Turbo,,,,,,,,,,,,KF Turbo,,,,660,,,,2.9,,MJ-101,MJ-120,,,MC-932,,CVT,,,5.8,,,,,,MJ-311,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,,
,DBA-LA400K,,,,2016.4,2WD,Cero / Robe / XPLAY S Turbo,,,,,,,,,,,,KF Turbo,,,,660,,,,2.9,,MJ-101,MJ-120,,,MC-932,,MT,,,1.25,,,,,,MJ-441,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
Esse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DBA-L235S,,,,2009.4,2WD,D / X / Custom / X Special,,,,,,,,,,,,KF-VE,,,,660,,,,2.8,,MJ-102,MJ-M02,,,MC-932,,AT,,,3.8,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,
,DBA-L235S,,,,2009.4,2WD,D / Custom,,,,,,,,,,,,KF-VE,,,,660,,,,2.8,,MJ-102,MJ-M02,,,MC-932,,MT,,,2.25,,,,,,MJ-441,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,
,DBA-L245S,,,,2009.4,4WD,D / X / Custom / X Special 4WD,,,,,,,,,,,,KF-VE,,,,660,,,,2.8,,MJ-102,MJ-M02,,,MC-932,,AT,,,3.8,,,MJ-328,,,MJ-323,,,,,MJ-431,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-M11,,,,,,,,,,,,,,,,,,,0.46,,,0.81,
,DBA-L235S,,,,2010.4,2WD,D / X / Custom,,,,,,,,,,,,KF-VE,,,,660,,,,2.8,,MJ-102,MJ-M02,,,MC-932,,AT,,,3.8,,,MJ-328,,,MJ-323,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-M11,,,,,,,,,,,,,,,,,,,,,,,
,DBA-L245S,,,,2010.4,4WD,D / X / Custom 4WD,,,,,,,,,,,,KF-VE,,,,660,,,,2.8,,MJ-102,MJ-M02,,,MC-932,,AT,,,3.8,,,MJ-328,,,MJ-323,,,,,MJ-431,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,MJ-M11,,,,,,,,,,,,,,,,,,,0.46,,,0.81,
Hijet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBD-S321V GBD-S321V,,,,2010.8,2WD,"Cargo Cruiser / Cargo Special / Cargo Special Clean / Cargo Deluxe
/ Deck Van",,,,,,,,,,,,KF -VE,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.6,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S321V GBD-S321V,,,,2010.8,2WD,Cargo Cruiser / Cargo Special / Cargo Deluxe / Deck Van,,,,,,,,,,,,KF -VE,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,,,,MJ-441,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S321V,,,,2010.8,2WD,Cargo Cruiser Turbo,,,,,,,,,,,,KF-DET,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.6,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S321V,,,,2010.8,2WD,Cargo Cruiser Turbo,,,,,,,,,,,,KF-DET,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,,,,MJ-441,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S331V GBD-S331V,,,,2010.8,4WD,Cargo Cruiser / Cargo Special / Car- go Special Clean / Cargo Deluxe 4WD,,,,,,,,,,,,KF-VE,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.6,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S331V GBD-S331V,,,,2010.8,4WD,Cargo Cruiser / Cargo Special / Cargo Deluxe 4WD,,,,,,,,,,,,KF-VE,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.95,,,,,,MJ-441,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
,EBD-S331V,,,,2010.8,4WD,Cargo Cruiser Turbo 4WD,,,,,,,,,,,,KF-DET,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.6,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S331V,,,,2010.8,4WD,Cargo Cruiser Turbo 4WD,,,,,,,,,,,,KF-DET,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.95,,,,,,MJ-441,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBD-S201C,,,,2010.8,2WD,Panel Van / Truck air con. power steering special,,,,,,,,,,,,KF -VE,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,3.8,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S201C,,,,2010.8,2WD,Panel Van / Truck air con. power steering special,,,,,,,,,,,,KF -VE,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,,,,MJ-441,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S211P,,,,2010.8,4WD,Panel Van / Truck air con. power steering special 4WD,,,,,,,,,,,,KF -VE,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,3.8,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S211C,,,,2010.8,4WD,Panel Van / Truck air con. power steering special 4WD,,,,,,,,,,,,KF -VE,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.95,,,,,,MJ-441,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
,EBD-S500P,,,,2014.9,2WD,Truck Extra / Jumbo / Standard,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.3,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S500P,,,,2014.9,2WD,Truck Extra / Jumbo / Standard,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,MJ-441,,,MJ-420,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S510P,,,,2014.9,4WD,Truck Extra / Jumbo / Standard 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.1,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S510P,,,,2014.9,4WD,Truck Extra / Jumbo / Standard 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,2.3,,,MJ-441,,,MJ-420,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
,EBD-S500P,,,,2014.12,2WD,Truck Extra / High Roof / Jumbo / Standard ECO,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.2,,,MJ-441,,,MJ-420,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S510P,,,,2014.12,4WD,Truck Extra / High Roof / Jumbo / Standard ECO 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,2.3,,,MJ-441,,,MJ-420,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
,EBD-S321V/W,,,,2015.4,2WD,Cargo Cruise / Special / Deluxe / Deck Van,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.3,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S321V/W,,,,2015.4,2WD,Cargo Cruise / Special / Deluxe / Deck Van,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,,,,MJ-441,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S331V/W,,,,2015.4,4WD,Cargo Cruise / Special / Deluxe / Deck Van,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.3,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S331V/W,,,,2015.4,4WD,Cargo Cruise / Special / Deluxe / Deck Van,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.95,,,,,,MJ-441,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBD-S500P,,,,2016.10,2WD,Truck Extra / Jumbo / Standard,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.3,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S500P,,,,2016.10,2WD,Truck Extra / Jumbo / Standard,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,MJ-441,,,MJ-420,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S510P,,,,2016.10,4WD,Truck Extra / Jumbo / Standard 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.1,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-M11,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S510P,,,,2016.10,4WD,Truck Extra / Jumbo / Standard 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,2.3,,,MJ-441,,,MJ-420,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
,EBD-S321V/W,,,,2017.11,2WD,Cargo Cruise / Special / Deluxe / Deck Van,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.3,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S321V/W,,,,2017.11,2WD,Cargo Cruise / Special / Deluxe / Deck Van,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,,,,MJ-441,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S331V/W,,,,2017.11,4WD,Cargo Cruise / Special / Deluxe / Deck Van,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.3,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S331V/W,,,,2017.11,4WD,Cargo Cruise / Special / Deluxe / Deck Van,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.95,,,,,,MJ-441,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
,EBD-S500P,,,,2017.11,2WD,Truck Extra SA III / Jumbo / Stan- dard,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.3,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S500P,,,,2017.11,2WD,Truck Extra SA III / Jumbo / Stan- dard,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,MJ-441,,,MJ-420,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S510P,,,,2017.11,4WD,Truck Extra SA III/ Jumbo / Standard 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.1,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S510P,,,,2018.5,4WD,Truck Extra SA III/ Jumbo / Standard 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,2.3,,,MJ-441,,,MJ-420,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
,EBD-S500P,,,,2018.5,2WD,Truck Extra SA III / Jumbo / Stan- dard,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.3,,,MJ-328,,,MJ-323,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
,EBD-S500P,,,,2018.5,2WD,Truck Extra SA III / Jumbo / Stan- dard,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,1.1,,,MJ-441,,,MJ-420,,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,,,,1.1,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
,,,,,,,,,,,,,,,,,,,MODEL,,,,DISPLACEMENT CC,,,,CAPACITY L.,,PREMIUM,CLASSIC,,,,,TYPE,,,CAPACITY L.,,,PREMIUM,,,CLASSIC,FRONT  DIFF.,,,,TRANSFER BOX,,,REAR DIFF.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBD-S510P,,,,2018.5,4WD,Truck Extra SA III/ Jumbo / Standard 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,AT,,,4.1,,,MJ-328,,,MJ-323,MJ-431,,,,MJ-441,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,0.54,,,,1.6,,,1.1,
,EBD-S510P,,,,2018.5,4WD,Truck Extra SA III/ Jumbo / Standard 4WD,,,,,,,,,,,,KF,,,,660,,,,3.4,,MJ-101,MJ-120,,,MC-932,,MT,,,2.3,,,MJ-441,,,MJ-420,MJ-431,,,,,,,MJ-431,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,0.54,,,,,,,1.1,
Hijet Caddie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HBD-LA700V,,,,2016.6,2WD,D,,,,,,,,,,,,KF,,,,660,,,,2.9,,MJ-102,MJ-120,,,MC-932,,CVT,,,5.7,,,,,,MJ-311,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,,,,,,,,,,,,,,,,,,,,,,,,
,HBD-LA700V,,,,2016.6,2WD,X Turbo,,,,,,,,,,,,KF Turbo,,,,660,,,,2.9,,MJ-101,MJ-120,,,MC-932,,CVT,,,5.8,,,,,,MJ-311,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,,,,,
,HBD-LA710V,,,,2016.6,4WD,D 4WD,,,,,,,,,,,,KF,,,,660,,,,2.9,,MJ-102,MJ-120,,,MC-932,,CVT,,,5.7,,,,,,MJ-311,,,,,MJ-431,,,MJ-323,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,,,,,,,,,,,,,,,,,,,,0.57,,,0.73,
,HBD-LA710V,,,,2016.6,4WD,X Turbo 4WD,,,,,,,,,,,,KF Turbo,,,,660,,,,2.9,,MJ-101,MJ-120,,,MC-932,,CVT,,,5.8,,,,,,MJ-311,,,,,MJ-431,,,MJ-323,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,0.57,,,0.73,
,HBD-LA700V,,,,2017.11,2WD,D,,,,,,,,,,,,KF,,,,660,,,,2.9,,MJ-102,MJ-120,,,MC-932,,CVT,,,5.7,,,,,,MJ-311,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,,,,,,,,,,,,,,,,,,,,,,,,
,HBD-LA700V,,,,2017.11,2WD,X SA III Turbo,,,,,,,,,,,,KF Turbo,,,,660,,,,2.9,,MJ-101,MJ-120,,,MC-932,,CVT,,,5.8,,,,,,MJ-311,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,,,,,
,HBD-LA710V,,,,2017.11,4WD,D 4WD,,,,,,,,,,,,KF,,,,660,,,,2.9,,MJ-102,MJ-120,,,MC-932,,CVT,,,5.7,,,,,,MJ-311,,,,,MJ-431,,,MJ-323,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,,,,,,,,,,,,,,,,,,,,0.57,,,0.73,
,HBD-LA710V,,,,2017.11,4WD,X SA III Turbo 4WD,,,,,,,,,,,,KF Turbo,,,,660,,,,2.9,,MJ-101,MJ-120,,,MC-932,,CVT,,,5.8,,,,,,MJ-311,,,,,MJ-431,,,MJ-323,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-121,,,,,,,,,,,,,,,,,,,0.57,,,0.73,
Mebius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAA-ZVW41N,,,,2014.11,2WD,S / L / Touring Selection,,,,,,,,,,,,2ZR-FXE,,,,1800,,,,4.2,,,MJ-102,,,MO-117,,CVT,,,3.4,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
,DAA-ZVW41N,,,,2017.9,2WD,S / L / Touring Selection,,,,,,,,,,,,2ZR-FXE,,,,1800,,,,4.2,,MJ-110,MJ-102,,,MC-110,,CVT,,,3.4,,,MJ-325,,,MJ-331,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MJ-P01,MJ-103,,,,,,,,,,,,,,,,,,,,,,,
DAIHATSU,,,HONDA,,,INFINITI,,,ISUZU,,,,,,,,,LEXUS,,,MAZDA,,,,,,,MITSUBISHI,,,NISSAN,,,,,SUBARU,,,,,,SUZUKI,,,,,TOYOTA,,,,,,IMPORTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODEL,,,,YEAR,DRIVING WHEELS,EQUIPMENT,,,,,,,,,,,,ENGINE,,,,,,,,,,OIL TYPE,,,,FILTER,,TRANSAXLE,,,,,,FLUID TYPE,,,,GEAR OIL TYPE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPACITY L.,,,,,,,,
